created_at,boards,rows,cols,mines,pdf_path
2025-11-19 20:35:58,0,10,10,10,C:\Users\minhq\OneDrive\Documents\GitHub\minesweeper\analytics_reports\Player_1763584558.pdf
2025-11-19 20:36:14,0,10,10,10,C:\Users\minhq\OneDrive\Documents\GitHub\minesweeper\analytics_reports\Player_1763584574.pdf
2025-11-19 20:36:47,0,5,5,24,C:\Users\minhq\OneDrive\Documents\GitHub\minesweeper\analytics_reports\Player_1763584607.pdf
2025-11-20 01:31:03,0,10,10,10,C:\Users\minhq\OneDrive\Documents\GitHub\minesweeper\analytics_reports\Player_1763602263.pdf
2025-11-20 01:39:13,100,10,10,10,C:\Users\minhq\OneDrive\Documents\GitHub\minesweeper\analytics_reports\Player_1763602753.pdf
2025-11-20 01:43:38,100,10,10,10,C:\Users\minhq\OneDrive\Documents\GitHub\minesweeper\analytics_reports\Player_1763603018.pdf
